"yday","subsectionname","trailname","trailnumber","timeframe","wday","max.count","subsectionF"
342,"Ross Pass to Sacagawea Peak","Bridger Ridge",513,2021-12-08,"Wed",NA,"Ross Pass to Sacagawea Peak"
343,"Bridger to Ross Pass","Bridger Ridge",513,2021-12-09,"Thu",NA,"Bridger to Ross Pass"
344,"Carroll Creek","Carroll Creek",527,2021-12-10,"Fri",NA,"Carroll Creek"
345,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-12-11,"Sat",NA,"Flathead Pass Rd"
346,"Upper Shafthouse","Shafthouse Hill",540,2021-12-12,"Sun",NA,"Upper Shafthouse"
347,"S Fork Brackett Creek","S Fork Brackett Creek",525,2021-12-13,"Mon",NA,"S Fork Brackett Creek"
348,"East Bridger South","East Bridger South",538,2021-12-14,"Tue",NA,"East Bridger South"
349,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-12-15,"Wed",NA,"Ross Pass to Sacagawea Pass"
350,"Raptor View","Raptor View",530,2021-12-16,"Thu",NA,"Raptor View"
351,"Upper Brackett Creek","Upper Brackett Creek",526,2021-12-17,"Fri",NA,"Upper Brackett Creek"
352,"Truman to Jones","Bridger Foothills",534,2021-12-18,"Sat",NA,"Truman to Jones"
353,"College M","College M",511,2021-12-19,"Sun",NA,"College M"
354,"College M","Bridger Foothills",534,2021-12-20,"Mon",NA,"College M"
355,"College M to Sypes","Bridger Foothills",534,2021-12-21,"Tue",NA,"College M to Sypes"
356,"Steep Way","Bridger Ridge",513,2021-12-22,"Wed",NA,"Steep Way"
357,"M to Baldy","Bridger Ridge",513,2021-12-23,"Thu",NA,"M to Baldy"
358,"M shortcut","M shortcut",512,2021-12-24,"Fri",NA,"M shortcut"
359,"Sypes Canyon","Sypes Canyon",531,2021-12-25,"Sat",NA,"Sypes Canyon"
360,"Middle Cottonwood","Middle Cottonwood",586,2021-12-26,"Sun",NA,"Middle Cottonwood"
361,"East Bridger North","East Bridger North",539,2021-12-27,"Mon",NA,"East Bridger North"
362,"Truman Gulch","Truman Gulch",535,2021-12-28,"Tue",NA,"Truman Gulch"
363,"Middle Cottonwood to Bostwick","Bridger Foothills",534,2021-12-29,"Wed",NA,"Middle Cottonwood to Bostwick"
364,"North Cottonwood Access","North Cottonwood Access",546,2021-12-30,"Thu",NA,"North Cottonwood Access"
365,"New World Gulch","New World Gulch",50,2021-12-31,"Fri",NA,"New World Gulch"
1,"North Cottonwood to Johnson Canyon","North Cottonwood",545,2021-01-01,"Fri",NA,"North Cottonwood to Johnson Canyon"
2,"Bridger","Bridger Ridge",513,2021-01-02,"Sat",NA,"Bridger"
3,"Corbly Gulch","Corbly Gulch",544,2021-01-03,"Sun",NA,"Corbly Gulch"
4,"Felix Canyon Rd","Felix Canyon Rd",2514,2021-01-04,"Mon",NA,"Felix Canyon Rd"
5,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-01-05,"Tue",NA,"Sypes to Middle Cottonwood"
6,"Bostwick to Truman","Bridger Foothills",534,2021-01-06,"Wed",NA,"Bostwick to Truman"
7,"Baldy to Bridger","Bridger Ridge",513,2021-01-07,"Thu",NA,"Baldy to Bridger"
8,"Fairy Creek","Fairy Creek",500,2021-01-08,"Fri",NA,"Fairy Creek"
9,"Fairy Lakeshore","Fairy Lakeshore",499,2021-01-09,"Sat",NA,"Fairy Lakeshore"
10,"Jones to Ross Pass","Bridger Foothills",534,2021-01-10,"Sun",NA,"Jones to Ross Pass"
11,"Sacagawea Peak to Sacagawea Pass","Bridger Ridge",513,2021-01-11,"Mon",NA,"Sacagawea Peak to Sacagawea Pass"
12,"Ross Pass","Ross Pass",551,2021-01-12,"Tue",NA,"Ross Pass"
13,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-01-13,"Wed",NA,"Fairy Lake Shortcut"
14,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-01-14,"Thu",NA,"Johnson Canyon Jeep Trail"
15,"Sacagawea Pass","Sacagawea Pass",518,2021-01-15,"Fri",NA,"Sacagawea Pass"
16,"Lower Shafthouse","Shafthouse Hill",540,2021-01-16,"Sat",NA,"Lower Shafthouse"
17,"North Cottonwood to Ridge","North Cottonwood",545,2021-01-17,"Sun",NA,"North Cottonwood to Ridge"
18,"Ross Pass to Sacagawea Peak","Bridger Ridge",513,2021-01-18,"Mon",NA,"Ross Pass to Sacagawea Peak"
19,"Bridger to Ross Pass","Bridger Ridge",513,2021-01-19,"Tue",NA,"Bridger to Ross Pass"
20,"Carroll Creek","Carroll Creek",527,2021-01-20,"Wed",NA,"Carroll Creek"
21,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-01-21,"Thu",NA,"Flathead Pass Rd"
22,"Upper Shafthouse","Shafthouse Hill",540,2021-01-22,"Fri",NA,"Upper Shafthouse"
23,"S Fork Brackett Creek","S Fork Brackett Creek",525,2021-01-23,"Sat",NA,"S Fork Brackett Creek"
24,"East Bridger South","East Bridger South",538,2021-01-24,"Sun",NA,"East Bridger South"
25,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-01-25,"Mon",NA,"Ross Pass to Sacagawea Pass"
26,"Raptor View","Raptor View",530,2021-01-26,"Tue",NA,"Raptor View"
27,"Upper Brackett Creek","Upper Brackett Creek",526,2021-01-27,"Wed",NA,"Upper Brackett Creek"
28,"Truman to Jones","Bridger Foothills",534,2021-01-28,"Thu",NA,"Truman to Jones"
34,"M shortcut","M shortcut",512,2021-02-03,"Wed",NA,"M shortcut"
35,"Sypes Canyon","Sypes Canyon",531,2021-02-04,"Thu",NA,"Sypes Canyon"
36,"Middle Cottonwood","Middle Cottonwood",586,2021-02-05,"Fri",NA,"Middle Cottonwood"
37,"East Bridger North","East Bridger North",539,2021-02-06,"Sat",NA,"East Bridger North"
38,"Truman Gulch","Truman Gulch",535,2021-02-07,"Sun",NA,"Truman Gulch"
39,"Middle Cottonwood to Bostwick","Bridger Foothills",534,2021-02-08,"Mon",NA,"Middle Cottonwood to Bostwick"
40,"North Cottonwood Access","North Cottonwood Access",546,2021-02-09,"Tue",NA,"North Cottonwood Access"
41,"New World Gulch","New World Gulch",50,2021-02-10,"Wed",NA,"New World Gulch"
42,"North Cottonwood to Johnson Canyon","North Cottonwood",545,2021-02-11,"Thu",NA,"North Cottonwood to Johnson Canyon"
43,"Bridger","Bridger Ridge",513,2021-02-12,"Fri",NA,"Bridger"
44,"Corbly Gulch","Corbly Gulch",544,2021-02-13,"Sat",NA,"Corbly Gulch"
45,"Felix Canyon Rd","Felix Canyon Rd",2514,2021-02-14,"Sun",NA,"Felix Canyon Rd"
46,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-02-15,"Mon",NA,"Sypes to Middle Cottonwood"
47,"Bostwick to Truman","Bridger Foothills",534,2021-02-16,"Tue",NA,"Bostwick to Truman"
48,"Baldy to Bridger","Bridger Ridge",513,2021-02-17,"Wed",NA,"Baldy to Bridger"
49,"Fairy Creek","Fairy Creek",500,2021-02-18,"Thu",NA,"Fairy Creek"
50,"Fairy Lakeshore","Fairy Lakeshore",499,2021-02-19,"Fri",NA,"Fairy Lakeshore"
51,"Jones to Ross Pass","Bridger Foothills",534,2021-02-20,"Sat",NA,"Jones to Ross Pass"
52,"Sacagawea Peak to Sacagawea Pass","Bridger Ridge",513,2021-02-21,"Sun",NA,"Sacagawea Peak to Sacagawea Pass"
53,"Ross Pass","Ross Pass",551,2021-02-22,"Mon",NA,"Ross Pass"
54,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-02-23,"Tue",NA,"Fairy Lake Shortcut"
55,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-02-24,"Wed",NA,"Johnson Canyon Jeep Trail"
56,"Sacagawea Pass","Sacagawea Pass",518,2021-02-25,"Thu",NA,"Sacagawea Pass"
57,"Lower Shafthouse","Shafthouse Hill",540,2021-02-26,"Fri",NA,"Lower Shafthouse"
58,"North Cottonwood to Ridge","North Cottonwood",545,2021-02-27,"Sat",NA,"North Cottonwood to Ridge"
59,"Ross Pass to Sacagawea Peak","Bridger Ridge",513,2021-02-28,"Sun",NA,"Ross Pass to Sacagawea Peak"
60,"Bridger to Ross Pass","Bridger Ridge",513,2021-03-01,"Mon",NA,"Bridger to Ross Pass"
61,"Carroll Creek","Carroll Creek",527,2021-03-02,"Tue",NA,"Carroll Creek"
62,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-03-03,"Wed",NA,"Flathead Pass Rd"
63,"Upper Shafthouse","Shafthouse Hill",540,2021-03-04,"Thu",NA,"Upper Shafthouse"
64,"S Fork Brackett Creek","S Fork Brackett Creek",525,2021-03-05,"Fri",NA,"S Fork Brackett Creek"
65,"East Bridger South","East Bridger South",538,2021-03-06,"Sat",NA,"East Bridger South"
66,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-03-07,"Sun",NA,"Ross Pass to Sacagawea Pass"
67,"Raptor View","Raptor View",530,2021-03-08,"Mon",NA,"Raptor View"
68,"Upper Brackett Creek","Upper Brackett Creek",526,2021-03-09,"Tue",NA,"Upper Brackett Creek"
69,"Truman to Jones","Bridger Foothills",534,2021-03-10,"Wed",NA,"Truman to Jones"
72,"College M to Sypes","Bridger Foothills",534,2021-03-13,"Sat",NA,"College M to Sypes"
74,"M to Baldy","Bridger Ridge",513,2021-03-15,"Mon",NA,"M to Baldy"
77,"Middle Cottonwood","Middle Cottonwood",586,2021-03-18,"Thu",NA,"Middle Cottonwood"
78,"East Bridger North","East Bridger North",539,2021-03-19,"Fri",NA,"East Bridger North"
79,"Truman Gulch","Truman Gulch",535,2021-03-20,"Sat",NA,"Truman Gulch"
80,"Middle Cottonwood to Bostwick","Bridger Foothills",534,2021-03-21,"Sun",NA,"Middle Cottonwood to Bostwick"
81,"North Cottonwood Access","North Cottonwood Access",546,2021-03-22,"Mon",NA,"North Cottonwood Access"
82,"New World Gulch","New World Gulch",50,2021-03-23,"Tue",NA,"New World Gulch"
83,"North Cottonwood to Johnson Canyon","North Cottonwood",545,2021-03-24,"Wed",NA,"North Cottonwood to Johnson Canyon"
84,"Bridger","Bridger Ridge",513,2021-03-25,"Thu",NA,"Bridger"
85,"Corbly Gulch","Corbly Gulch",544,2021-03-26,"Fri",NA,"Corbly Gulch"
86,"Felix Canyon Rd","Felix Canyon Rd",2514,2021-03-27,"Sat",NA,"Felix Canyon Rd"
87,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-03-28,"Sun",NA,"Sypes to Middle Cottonwood"
88,"Bostwick to Truman","Bridger Foothills",534,2021-03-29,"Mon",NA,"Bostwick to Truman"
89,"Baldy to Bridger","Bridger Ridge",513,2021-03-30,"Tue",NA,"Baldy to Bridger"
90,"Fairy Creek","Fairy Creek",500,2021-03-31,"Wed",NA,"Fairy Creek"
91,"Fairy Lakeshore","Fairy Lakeshore",499,2021-04-01,"Thu",NA,"Fairy Lakeshore"
92,"Jones to Ross Pass","Bridger Foothills",534,2021-04-02,"Fri",NA,"Jones to Ross Pass"
93,"Sacagawea Peak to Sacagawea Pass","Bridger Ridge",513,2021-04-03,"Sat",NA,"Sacagawea Peak to Sacagawea Pass"
94,"Ross Pass","Ross Pass",551,2021-04-04,"Sun",NA,"Ross Pass"
95,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-04-05,"Mon",NA,"Fairy Lake Shortcut"
96,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-04-06,"Tue",NA,"Johnson Canyon Jeep Trail"
97,"Sacagawea Pass","Sacagawea Pass",518,2021-04-07,"Wed",NA,"Sacagawea Pass"
98,"Lower Shafthouse","Shafthouse Hill",540,2021-04-08,"Thu",NA,"Lower Shafthouse"
99,"North Cottonwood to Ridge","North Cottonwood",545,2021-04-09,"Fri",NA,"North Cottonwood to Ridge"
100,"Ross Pass to Sacagawea Peak","Bridger Ridge",513,2021-04-10,"Sat",NA,"Ross Pass to Sacagawea Peak"
101,"Bridger to Ross Pass","Bridger Ridge",513,2021-04-11,"Sun",NA,"Bridger to Ross Pass"
102,"Carroll Creek","Carroll Creek",527,2021-04-12,"Mon",NA,"Carroll Creek"
103,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-04-13,"Tue",NA,"Flathead Pass Rd"
104,"Upper Shafthouse","Shafthouse Hill",540,2021-04-14,"Wed",NA,"Upper Shafthouse"
105,"S Fork Brackett Creek","S Fork Brackett Creek",525,2021-04-15,"Thu",NA,"S Fork Brackett Creek"
106,"East Bridger South","East Bridger South",538,2021-04-16,"Fri",NA,"East Bridger South"
107,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-04-17,"Sat",NA,"Ross Pass to Sacagawea Pass"
108,"Raptor View","Raptor View",530,2021-04-18,"Sun",NA,"Raptor View"
109,"Upper Brackett Creek","Upper Brackett Creek",526,2021-04-19,"Mon",NA,"Upper Brackett Creek"
110,"Truman to Jones","Bridger Foothills",534,2021-04-20,"Tue",NA,"Truman to Jones"
118,"Middle Cottonwood","Middle Cottonwood",586,2021-04-28,"Wed",NA,"Middle Cottonwood"
119,"East Bridger North","East Bridger North",539,2021-04-29,"Thu",NA,"East Bridger North"
120,"Truman Gulch","Truman Gulch",535,2021-04-30,"Fri",NA,"Truman Gulch"
121,"Middle Cottonwood to Bostwick","Bridger Foothills",534,2021-05-01,"Sat",NA,"Middle Cottonwood to Bostwick"
122,"North Cottonwood Access","North Cottonwood Access",546,2021-05-02,"Sun",NA,"North Cottonwood Access"
123,"New World Gulch","New World Gulch",50,2021-05-03,"Mon",NA,"New World Gulch"
124,"North Cottonwood to Johnson Canyon","North Cottonwood",545,2021-05-04,"Tue",NA,"North Cottonwood to Johnson Canyon"
125,"Bridger","Bridger Ridge",513,2021-05-05,"Wed",NA,"Bridger"
127,"Felix Canyon Rd","Felix Canyon Rd",2514,2021-05-07,"Fri",NA,"Felix Canyon Rd"
128,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-05-08,"Sat",NA,"Sypes to Middle Cottonwood"
129,"Bostwick to Truman","Bridger Foothills",534,2021-05-09,"Sun",NA,"Bostwick to Truman"
130,"Baldy to Bridger","Bridger Ridge",513,2021-05-10,"Mon",NA,"Baldy to Bridger"
131,"Fairy Creek","Fairy Creek",500,2021-05-11,"Tue",NA,"Fairy Creek"
132,"Fairy Lakeshore","Fairy Lakeshore",499,2021-05-12,"Wed",NA,"Fairy Lakeshore"
133,"Jones to Ross Pass","Bridger Foothills",534,2021-05-13,"Thu",NA,"Jones to Ross Pass"
134,"Sacagawea Peak to Sacagawea Pass","Bridger Ridge",513,2021-05-14,"Fri",NA,"Sacagawea Peak to Sacagawea Pass"
135,"Ross Pass","Ross Pass",551,2021-05-15,"Sat",NA,"Ross Pass"
136,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-05-16,"Sun",NA,"Fairy Lake Shortcut"
137,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-05-17,"Mon",NA,"Johnson Canyon Jeep Trail"
138,"Sacagawea Pass","Sacagawea Pass",518,2021-05-18,"Tue",NA,"Sacagawea Pass"
139,"Lower Shafthouse","Shafthouse Hill",540,2021-05-19,"Wed",NA,"Lower Shafthouse"
140,"North Cottonwood to Ridge","North Cottonwood",545,2021-05-20,"Thu",NA,"North Cottonwood to Ridge"
141,"Ross Pass to Sacagawea Peak","Bridger Ridge",513,2021-05-21,"Fri",NA,"Ross Pass to Sacagawea Peak"
142,"Bridger to Ross Pass","Bridger Ridge",513,2021-05-22,"Sat",NA,"Bridger to Ross Pass"
143,"Carroll Creek","Carroll Creek",527,2021-05-23,"Sun",NA,"Carroll Creek"
144,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-05-24,"Mon",NA,"Flathead Pass Rd"
145,"Upper Shafthouse","Shafthouse Hill",540,2021-05-25,"Tue",NA,"Upper Shafthouse"
146,"S Fork Brackett Creek","S Fork Brackett Creek",525,2021-05-26,"Wed",NA,"S Fork Brackett Creek"
147,"East Bridger South","East Bridger South",538,2021-05-27,"Thu",NA,"East Bridger South"
148,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-05-28,"Fri",NA,"Ross Pass to Sacagawea Pass"
149,"Raptor View","Raptor View",530,2021-05-29,"Sat",NA,"Raptor View"
150,"Upper Brackett Creek","Upper Brackett Creek",526,2021-05-30,"Sun",NA,"Upper Brackett Creek"
151,"Truman to Jones","Bridger Foothills",534,2021-05-31,"Mon",NA,"Truman to Jones"
160,"East Bridger North","East Bridger North",539,2021-06-09,"Wed",NA,"East Bridger North"
165,"North Cottonwood to Johnson Canyon","North Cottonwood",545,2021-06-14,"Mon",NA,"North Cottonwood to Johnson Canyon"
166,"Bridger","Bridger Ridge",513,2021-06-15,"Tue",NA,"Bridger"
169,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-06-18,"Fri",NA,"Sypes to Middle Cottonwood"
170,"Bostwick to Truman","Bridger Foothills",534,2021-06-19,"Sat",NA,"Bostwick to Truman"
171,"Baldy to Bridger","Bridger Ridge",513,2021-06-20,"Sun",NA,"Baldy to Bridger"
172,"Fairy Creek","Fairy Creek",500,2021-06-21,"Mon",NA,"Fairy Creek"
173,"Fairy Lakeshore","Fairy Lakeshore",499,2021-06-22,"Tue",NA,"Fairy Lakeshore"
174,"Jones to Ross Pass","Bridger Foothills",534,2021-06-23,"Wed",NA,"Jones to Ross Pass"
176,"Ross Pass","Ross Pass",551,2021-06-25,"Fri",NA,"Ross Pass"
178,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-06-27,"Sun",NA,"Johnson Canyon Jeep Trail"
181,"North Cottonwood to Ridge","North Cottonwood",545,2021-06-30,"Wed",NA,"North Cottonwood to Ridge"
183,"Bridger to Ross Pass","Bridger Ridge",513,2021-07-02,"Fri",NA,"Bridger to Ross Pass"
185,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-07-04,"Sun",NA,"Flathead Pass Rd"
186,"Upper Shafthouse","Shafthouse Hill",540,2021-07-05,"Mon",NA,"Upper Shafthouse"
187,"S Fork Brackett Creek","S Fork Brackett Creek",525,2021-07-06,"Tue",NA,"S Fork Brackett Creek"
188,"East Bridger South","East Bridger South",538,2021-07-07,"Wed",NA,"East Bridger South"
189,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-07-08,"Thu",NA,"Ross Pass to Sacagawea Pass"
190,"Raptor View","Raptor View",530,2021-07-09,"Fri",NA,"Raptor View"
191,"Upper Brackett Creek","Upper Brackett Creek",526,2021-07-10,"Sat",NA,"Upper Brackett Creek"
192,"Truman to Jones","Bridger Foothills",534,2021-07-11,"Sun",NA,"Truman to Jones"
201,"East Bridger North","East Bridger North",539,2021-07-20,"Tue",NA,"East Bridger North"
203,"Middle Cottonwood to Bostwick","Bridger Foothills",534,2021-07-22,"Thu",NA,"Middle Cottonwood to Bostwick"
204,"North Cottonwood Access","North Cottonwood Access",546,2021-07-23,"Fri",NA,"North Cottonwood Access"
207,"Bridger","Bridger Ridge",513,2021-07-26,"Mon",NA,"Bridger"
208,"Corbly Gulch","Corbly Gulch",544,2021-07-27,"Tue",NA,"Corbly Gulch"
209,"Felix Canyon Rd","Felix Canyon Rd",2514,2021-07-28,"Wed",NA,"Felix Canyon Rd"
210,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-07-29,"Thu",NA,"Sypes to Middle Cottonwood"
211,"Bostwick to Truman","Bridger Foothills",534,2021-07-30,"Fri",NA,"Bostwick to Truman"
213,"Fairy Creek","Fairy Creek",500,2021-08-01,"Sun",NA,"Fairy Creek"
214,"Fairy Lakeshore","Fairy Lakeshore",499,2021-08-02,"Mon",NA,"Fairy Lakeshore"
215,"Jones to Ross Pass","Bridger Foothills",534,2021-08-03,"Tue",NA,"Jones to Ross Pass"
217,"Ross Pass","Ross Pass",551,2021-08-05,"Thu",NA,"Ross Pass"
218,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-08-06,"Fri",NA,"Fairy Lake Shortcut"
219,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-08-07,"Sat",NA,"Johnson Canyon Jeep Trail"
221,"Lower Shafthouse","Shafthouse Hill",540,2021-08-09,"Mon",NA,"Lower Shafthouse"
222,"North Cottonwood to Ridge","North Cottonwood",545,2021-08-10,"Tue",NA,"North Cottonwood to Ridge"
223,"Ross Pass to Sacagawea Peak","Bridger Ridge",513,2021-08-11,"Wed",NA,"Ross Pass to Sacagawea Peak"
224,"Bridger to Ross Pass","Bridger Ridge",513,2021-08-12,"Thu",NA,"Bridger to Ross Pass"
225,"Carroll Creek","Carroll Creek",527,2021-08-13,"Fri",NA,"Carroll Creek"
226,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-08-14,"Sat",NA,"Flathead Pass Rd"
228,"S Fork Brackett Creek","S Fork Brackett Creek",525,2021-08-16,"Mon",NA,"S Fork Brackett Creek"
229,"East Bridger South","East Bridger South",538,2021-08-17,"Tue",NA,"East Bridger South"
230,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-08-18,"Wed",NA,"Ross Pass to Sacagawea Pass"
231,"Raptor View","Raptor View",530,2021-08-19,"Thu",NA,"Raptor View"
232,"Upper Brackett Creek","Upper Brackett Creek",526,2021-08-20,"Fri",NA,"Upper Brackett Creek"
233,"Truman to Jones","Bridger Foothills",534,2021-08-21,"Sat",NA,"Truman to Jones"
242,"East Bridger North","East Bridger North",539,2021-08-30,"Mon",NA,"East Bridger North"
244,"Middle Cottonwood to Bostwick","Bridger Foothills",534,2021-09-01,"Wed",NA,"Middle Cottonwood to Bostwick"
245,"North Cottonwood Access","North Cottonwood Access",546,2021-09-02,"Thu",NA,"North Cottonwood Access"
246,"New World Gulch","New World Gulch",50,2021-09-03,"Fri",NA,"New World Gulch"
247,"North Cottonwood to Johnson Canyon","North Cottonwood",545,2021-09-04,"Sat",NA,"North Cottonwood to Johnson Canyon"
250,"Felix Canyon Rd","Felix Canyon Rd",2514,2021-09-07,"Tue",NA,"Felix Canyon Rd"
251,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-09-08,"Wed",NA,"Sypes to Middle Cottonwood"
252,"Bostwick to Truman","Bridger Foothills",534,2021-09-09,"Thu",NA,"Bostwick to Truman"
253,"Baldy to Bridger","Bridger Ridge",513,2021-09-10,"Fri",NA,"Baldy to Bridger"
254,"Fairy Creek","Fairy Creek",500,2021-09-11,"Sat",NA,"Fairy Creek"
255,"Fairy Lakeshore","Fairy Lakeshore",499,2021-09-12,"Sun",NA,"Fairy Lakeshore"
256,"Jones to Ross Pass","Bridger Foothills",534,2021-09-13,"Mon",NA,"Jones to Ross Pass"
257,"Sacagawea Peak to Sacagawea Pass","Bridger Ridge",513,2021-09-14,"Tue",NA,"Sacagawea Peak to Sacagawea Pass"
258,"Ross Pass","Ross Pass",551,2021-09-15,"Wed",NA,"Ross Pass"
259,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-09-16,"Thu",NA,"Fairy Lake Shortcut"
260,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-09-17,"Fri",NA,"Johnson Canyon Jeep Trail"
262,"Lower Shafthouse","Shafthouse Hill",540,2021-09-19,"Sun",NA,"Lower Shafthouse"
263,"North Cottonwood to Ridge","North Cottonwood",545,2021-09-20,"Mon",NA,"North Cottonwood to Ridge"
264,"Ross Pass to Sacagawea Peak","Bridger Ridge",513,2021-09-21,"Tue",NA,"Ross Pass to Sacagawea Peak"
265,"Bridger to Ross Pass","Bridger Ridge",513,2021-09-22,"Wed",NA,"Bridger to Ross Pass"
266,"Carroll Creek","Carroll Creek",527,2021-09-23,"Thu",NA,"Carroll Creek"
267,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-09-24,"Fri",NA,"Flathead Pass Rd"
268,"Upper Shafthouse","Shafthouse Hill",540,2021-09-25,"Sat",NA,"Upper Shafthouse"
269,"S Fork Brackett Creek","S Fork Brackett Creek",525,2021-09-26,"Sun",NA,"S Fork Brackett Creek"
270,"East Bridger South","East Bridger South",538,2021-09-27,"Mon",NA,"East Bridger South"
271,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-09-28,"Tue",NA,"Ross Pass to Sacagawea Pass"
273,"Upper Brackett Creek","Upper Brackett Creek",526,2021-09-30,"Thu",NA,"Upper Brackett Creek"
274,"Truman to Jones","Bridger Foothills",534,2021-10-01,"Fri",NA,"Truman to Jones"
275,"College M","College M",511,2021-10-02,"Sat",NA,"College M"
276,"College M","Bridger Foothills",534,2021-10-03,"Sun",NA,"College M"
277,"College M to Sypes","Bridger Foothills",534,2021-10-04,"Mon",NA,"College M to Sypes"
278,"Steep Way","Bridger Ridge",513,2021-10-05,"Tue",NA,"Steep Way"
279,"M to Baldy","Bridger Ridge",513,2021-10-06,"Wed",NA,"M to Baldy"
280,"M shortcut","M shortcut",512,2021-10-07,"Thu",NA,"M shortcut"
281,"Sypes Canyon","Sypes Canyon",531,2021-10-08,"Fri",NA,"Sypes Canyon"
282,"Middle Cottonwood","Middle Cottonwood",586,2021-10-09,"Sat",NA,"Middle Cottonwood"
284,"Truman Gulch","Truman Gulch",535,2021-10-11,"Mon",NA,"Truman Gulch"
285,"Middle Cottonwood to Bostwick","Bridger Foothills",534,2021-10-12,"Tue",NA,"Middle Cottonwood to Bostwick"
286,"North Cottonwood Access","North Cottonwood Access",546,2021-10-13,"Wed",NA,"North Cottonwood Access"
287,"New World Gulch","New World Gulch",50,2021-10-14,"Thu",NA,"New World Gulch"
288,"North Cottonwood to Johnson Canyon","North Cottonwood",545,2021-10-15,"Fri",NA,"North Cottonwood to Johnson Canyon"
289,"Bridger","Bridger Ridge",513,2021-10-16,"Sat",NA,"Bridger"
291,"Felix Canyon Rd","Felix Canyon Rd",2514,2021-10-18,"Mon",NA,"Felix Canyon Rd"
292,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-10-19,"Tue",NA,"Sypes to Middle Cottonwood"
293,"Bostwick to Truman","Bridger Foothills",534,2021-10-20,"Wed",NA,"Bostwick to Truman"
294,"Baldy to Bridger","Bridger Ridge",513,2021-10-21,"Thu",NA,"Baldy to Bridger"
295,"Fairy Creek","Fairy Creek",500,2021-10-22,"Fri",NA,"Fairy Creek"
296,"Fairy Lakeshore","Fairy Lakeshore",499,2021-10-23,"Sat",NA,"Fairy Lakeshore"
297,"Jones to Ross Pass","Bridger Foothills",534,2021-10-24,"Sun",NA,"Jones to Ross Pass"
298,"Sacagawea Peak to Sacagawea Pass","Bridger Ridge",513,2021-10-25,"Mon",NA,"Sacagawea Peak to Sacagawea Pass"
299,"Ross Pass","Ross Pass",551,2021-10-26,"Tue",NA,"Ross Pass"
300,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-10-27,"Wed",NA,"Fairy Lake Shortcut"
301,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-10-28,"Thu",NA,"Johnson Canyon Jeep Trail"
302,"Sacagawea Pass","Sacagawea Pass",518,2021-10-29,"Fri",NA,"Sacagawea Pass"
303,"Lower Shafthouse","Shafthouse Hill",540,2021-10-30,"Sat",NA,"Lower Shafthouse"
304,"North Cottonwood to Ridge","North Cottonwood",545,2021-10-31,"Sun",NA,"North Cottonwood to Ridge"
305,"Ross Pass to Sacagawea Peak","Bridger Ridge",513,2021-11-01,"Mon",NA,"Ross Pass to Sacagawea Peak"
306,"Bridger to Ross Pass","Bridger Ridge",513,2021-11-02,"Tue",NA,"Bridger to Ross Pass"
307,"Carroll Creek","Carroll Creek",527,2021-11-03,"Wed",NA,"Carroll Creek"
308,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-11-04,"Thu",NA,"Flathead Pass Rd"
